2025-12-25 08:50:29 | INFO     | app.core.logging_config:setup_logging:137 | Logging system initialized | {'environment': 'production', 'level': 'INFO'}
2025-12-25 08:50:29 | WARNING  | app.core.logging_config:setup_sentry:158 | Sentry DSN not configured, error tracking disabled. Set SENTRY_DSN environment variable to enable. | {}
2025-12-25 08:50:29 | INFO     | app.main:lifespan:55 | Starting Productivity App API v1.0.0 | {}
2025-12-25 08:50:29 | INFO     | app.main:lifespan:56 | Environment: development | {}
2025-12-25 08:50:29 | INFO     | app.main:lifespan:57 | Documentation: http://localhost:8000/docs | {}
2025-12-25 08:50:29 | INFO     | app.main:lifespan:58 | Database migrations managed by Alembic | {}
2025-12-25 08:50:29 | INFO     | app.main:lifespan:59 | Run 'alembic upgrade head' to apply migrations | {}
2025-12-25 08:50:29 | INFO     | logging:callHandlers:1706 | Application startup complete. | {}
2025-12-25 08:51:24 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET / | {'correlation_id': 'dbb76ea7-5945-449a-a824-067f337b7983', 'user_id': None, 'method': 'GET', 'path': '/', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36'}
2025-12-25 08:51:24 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET / → 200 (3.62ms) | {'correlation_id': 'dbb76ea7-5945-449a-a824-067f337b7983', 'user_id': None, 'method': 'GET', 'path': '/', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36', 'status_code': 200, 'duration_ms': 3.62}
2025-12-25 08:51:24 | INFO     | logging:callHandlers:1706 | 127.0.0.1:54126 - "GET / HTTP/1.1" 200 | {}
2025-12-25 08:51:25 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /favicon.ico | {'correlation_id': '1ac34d56-c0ca-4bbc-add7-b92e84cb0412', 'user_id': None, 'method': 'GET', 'path': '/favicon.ico', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36'}
2025-12-25 08:51:25 | WARNING  | app.middleware.logging_middleware:dispatch:95 | ← GET /favicon.ico → 404 (5.83ms) | {'correlation_id': '1ac34d56-c0ca-4bbc-add7-b92e84cb0412', 'user_id': None, 'method': 'GET', 'path': '/favicon.ico', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36', 'status_code': 404, 'duration_ms': 5.83}
2025-12-25 08:51:25 | INFO     | logging:callHandlers:1706 | 127.0.0.1:54126 - "GET /favicon.ico HTTP/1.1" 404 | {}
2025-12-25 08:51:31 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /docs | {'correlation_id': '6638270a-7b2e-4959-b4ee-208bfc75918a', 'user_id': None, 'method': 'GET', 'path': '/docs', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36'}
2025-12-25 08:51:31 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET /docs → 200 (2.0ms) | {'correlation_id': '6638270a-7b2e-4959-b4ee-208bfc75918a', 'user_id': None, 'method': 'GET', 'path': '/docs', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36', 'status_code': 200, 'duration_ms': 2.0}
